Origin,Destination,NumOfLoan,Origin_Long,Origin_Lat,Dest_Long,Dest_Lat,OriginName
NO,CO,29,8.468946,60.472024,-74.297333,4.570868,Norway 
NO,KE,47,8.468946,60.472024,37.906193,-0.023559,Norway 
NO,KH,27,8.468946,60.472024,104.990963,12.565679,Norway 
NO,PH,111,8.468946,60.472024,121.774017,12.879721,Norway 
NO,PK,21,8.468946,60.472024,69.345116,30.375321,Norway 
NO,SV,46,8.468946,60.472024,-88.89653,13.794185,Norway 
NO,UG,28,8.468946,60.472024,32.290275,1.373333,Norway 
NZ,KE,23,174.885971,-40.900557,37.906193,-0.023559,New Zealand
NZ,PH,25,174.885971,-40.900557,121.774017,12.879721,New Zealand
PH,PH,31,121.774017,12.879721,121.774017,12.879721,Philippines 
PT,PE,20,-8.224454,39.399872,-75.015152,-9.189967,Portugal 
PT,PH,73,-8.224454,39.399872,121.774017,12.879721,Portugal 
SE,KE,72,18.643501,60.128161,37.906193,-0.023559,Sweden 
SE,KH,33,18.643501,60.128161,104.990963,12.565679,Sweden 
SE,PH,106,18.643501,60.128161,121.774017,12.879721,Sweden 
SE,SV,28,18.643501,60.128161,-88.89653,13.794185,Sweden 
SE,UG,24,18.643501,60.128161,32.290275,1.373333,Sweden 
SG,PH,29,103.819836,1.352083,121.774017,12.879721,Singapore 
TW,KE,27,120.960515,23.69781,37.906193,-0.023559,Taiwan
TW,KH,21,120.960515,23.69781,104.990963,12.565679,Taiwan
TW,PH,31,120.960515,23.69781,121.774017,12.879721,Taiwan
US,AL,58,-95.712891,37.09024,20.168331,41.153332,United States 
US,AM,322,-95.712891,37.09024,45.038189,40.069099,United States 
US,AZ,85,-95.712891,37.09024,47.576927,40.143105,United States 
US,BF,85,-95.712891,37.09024,-1.561593,12.238333,United States 
US,BI,32,-95.712891,37.09024,29.918886,-3.373056,United States 
US,BO,380,-95.712891,37.09024,-63.588653,-16.290154,United States 
US,CD,108,-95.712891,37.09024,21.758664,-4.038333,United States 
US,CM,86,-95.712891,37.09024,12.354722,7.369722,United States 
US,CO,701,-95.712891,37.09024,-74.297333,4.570868,United States 
US,CR,53,-95.712891,37.09024,-83.753428,9.748917,United States 
US,DO,24,-95.712891,37.09024,-70.162651,18.735693,United States 
US,EC,440,-95.712891,37.09024,-78.183406,-1.831239,United States 
US,EG,50,-95.712891,37.09024,30.802498,26.820553,United States 
US,GE,160,-95.712891,37.09024,43.356892,42.315407,United States 
US,GH,170,-95.712891,37.09024,-1.023194,7.946527,United States 
US,GT,238,-95.712891,37.09024,-90.230759,15.783471,United States 
US,HN,268,-95.712891,37.09024,-86.241905,15.199999,United States 
US,HT,112,-95.712891,37.09024,-72.285215,18.971187,United States 
US,ID,187,-95.712891,37.09024,113.921327,-0.789275,United States 
US,IN,338,-95.712891,37.09024,78.96288,20.593684,United States 
US,IQ,80,-95.712891,37.09024,43.679291,33.223191,United States 
US,JO,171,-95.712891,37.09024,36.238414,30.585164,United States 
US,KE,2075,-95.712891,37.09024,37.906193,-0.023559,United States 
US,KG,211,-95.712891,37.09024,74.766098,41.20438,United States 
US,KH,1100,-95.712891,37.09024,104.990963,12.565679,United States 
